Latitude;Longitude;ID;Altitude;Nom;versant
46.766000;6.359167;7392;1036;METABIEF_STATION;0,1
46.020833;6.970833;7393;2196;LE TOUR BALME;0,5
46.341167;6.708167;7454;1535;Bernex;0,2
45.247667;6.732667;7456;2166;Aussois;0,9
46.315333;6.673333;7457;790;VACHERESSE AUXI;0,5
46.024667;6.643833;7458;1152;LES CARROZ VILLAGE;0,4
45.217167;6.202500;7466;2090;ST SORLIN D'ARVES;0,5
45.901167;6.885833;7467;2310;PLAN AIGUILLE TMB;0,4
45.962000;6.888500;7470;1850;LA FLEGERE;0,7
45.071500;5.542000;7484;1018;VILLARD-BOIS-BARBU;0,2
45.227167;5.581167;7488;1260;AUTRANS-NIVO;0,5
45.308333;5.883333;7489;970;St Hilaire;0,8
45.324667;6.047333;7495;1424;COL DU BARIOZ;0,2
45.445000;6.978167;7498;1854;Val d Isere Joseray;0,3
45.917833;6.866167;7499;1025;CHAMONIX-OBS;0,5
45.373667;7.057167;7566;1830;Bonneval sur Arc;0,2
45.274167;6.922333;7567;2101;Val Cenis (La Berche);0,2
44.938167;6.719500;7575;2134;MONTGENEVRE-LE CHALVET;0,3
44.838667;5.406667;7580;1260;Col du Rousset;0,5
45.128167;6.071667;7582;1350;Olmet;0,4
44.997000;6.204667;7583;3200;Les 2 ALpes Jandri;0,5
44.932667;6.292000;7584;1738;La Berarde;0,5
44.907167;5.334333;7585;1425;FONT D'URLE;0,5
44.946667;6.188333;7589;1570;St Christophe;0,6
44.810000;6.195333;7590;1270;Les Portes en Valgaudemar;0,5
44.665500;5.906667;7595;1915;Super_Devoluy;0,5
44.580667;6.352833;7596;1717;REALLON _NIVO;0,4
44.343833;6.695000;7598;1980;LE SAUZE;0,1
44.621500;6.084333;7599;1240;GAP-BAYARD;0,5
43.038167;-1.026667;7608;1327;Iraty;0,5
44.239167;6.753000;7696;1850;Estenc;0,5
44.097500;7.505833;7697;1554;Val Casterino;0,2
45.012833;6.570833;7710;2060;NEVACHE-BUFFERE;0,1
45.577833;6.895167;7711;1524;STE FOY STATION;0,5
44.616667;6.644167;7715;2050;RISOUL;0,2
46.027333;6.665333;7721;1747;LES CARROZ KEDEUSAZ;0,5
42.911833;0.768167;7725;1456;Boutx le Mourtis;0
42.739500;1.513333;7730;1468;Goulier;0
42.755000;1.863333;7746;1600;LE CHIOULA;0,5
45.100000;6.100000;7811;2350;L Alpe d Huez 2350;0,5
45.878833;6.524500;7813;1210;LA GIETTAZ;0,5
45.247833;6.571000;7815;2356;Orelle;0,9
44.893000;5.547667;7818;1250;Gresse en Vercors;0,5
46.003500;6.697333;7856;1620;Flaine;0,5
46.186167;6.780167;7858;1765;Avoriaz;0,1
46.218333;6.792333;7861;1635;CHATEL NIVO;0,2
45.188500;6.698833;7863;1960;La Norma;0,2
45.532167;2.820833;7865;1664;PLATEAU CACADOGNE;0,1
45.098667;5.876000;7870;1650;CHAMROUSSE ARSELLE;0,5
45.713000;6.276333;7871;1159;Seythenex;0
45.256167;5.995667;7872;1355;PRAPOUTEL;0,1
46.001667;6.948000;7873;1470;LE TOUR NIVO;0,5
45.097667;6.072833;7875;1860;L Alpe d Huez (SATA);0,6
45.970667;6.452333;7876;1270;Le Grand Bornand;0,3
45.393000;6.128333;7877;1645;Le Collet d Allevard;0,3
45.057167;6.076333;7878;1600;AURIS-EN-OISANS;1
45.009167;6.106667;7880;2084;Les 2 Alpes (Pied Mouttet);0,5
44.996667;6.171833;7881;2590;Les 2 Alpes (Toura NE);0,1
45.022500;5.860333;7882;1390;L Alpe du Grand Serre;0,1
45.645000;6.063333;7884;1400;Les Aillons (Margeriaz);0,4
45.227667;6.404000;7885;1603;Les Karellis;0,3
45.029167;5.570333;7886;1720;Villard cote 2000;0,1
45.893000;6.445000;7887;1594;LA CLUSAZ;0,5
45.176000;6.493833;7888;1788;Valmeinier;0,8
45.323333;6.541667;7889;1800;Les Menuires;0,4
45.155833;6.664833;7890;2208;Val Frejus;0,1
45.671333;6.540500;7891;1209;Areches;0
45.371667;6.583333;7892;1700;Meribel Mottaret;0,6
45.413333;6.632167;7893;1780;Courchevel;0
45.463333;6.446667;7894;1350;Valmorel;0,1
45.505000;6.671667;7895;1970;La Plagne;0,4
45.381667;6.720000;7896;1416;Pralognan;0,5
45.791833;6.699833;7897;1780;LES CONTAMINES MONTJOIE;0,5
45.855667;6.608000;7898;1080;MEGEVE AUXI;0,5
45.573333;6.826667;7900;2040;Les Arcs;0,5
45.629833;6.848333;7901;1867;La Rosiere;0,7
45.120667;5.895667;7902;2022;Chamrousse Niverolles;0,4
45.111500;5.609167;7903;1400;Lans en Vercors;0,4
45.468333;6.908333;7904;2080;Tignes;0,5
45.243333;6.266667;7907;1585;Le Corbier;0,4
45.968333;6.942833;7908;1970;Lognan;0,2
45.345000;5.846500;7909;1700;St Pierre de Chartreuse;0,4
45.758333;6.528833;7911;1636;Les Saisies;0,5
45.320667;6.995333;7912;1713;Bessans;0,5
45.441833;7.016167;7913;2310;Le Molard;0,2
45.025500;6.288667;7915;2420;La Grave - La Meije;0,4
45.417833;6.363333;7916;1594;ST FRANCOIS LONG;0,5
44.690000;5.937667;7917;1281;St Etienne en Devoluy;0,4
45.294500;6.582500;7918;2283;VAL THORENS;0,5
44.709333;6.316500;7919;2130;Orcieres;0,7
45.158833;6.097667;7920;1720;VAUJANY-NIVO;0,4
44.818000;6.485833;7921;1680;PUY ST VINCENT 1600;0,2
45.163167;6.465333;7922;2295;Valloire;0,4
44.481667;6.562833;7923;1895;LES ORRES FONTAINES;0,4
44.924500;6.571333;7925;1905;Serre Chevalier;0,1
44.949833;6.501000;7926;2185;Le Monetier;0,1
44.360000;6.584667;7927;2100;Pra Loup;0,2
46.165500;6.658333;7928;1550;Les Gets;0,7
44.561000;6.670333;7929;2222;VARS;0,5
44.671167;6.776167;7931;1665;CEILLAC_NIVO;0,5
44.593000;6.843333;7933;1908;Maljasset;0,5
44.702333;6.866833;7935;2060;ST VERAN RM;0,8
44.793500;6.946167;7936;2020;ABRIES RM;0,6
44.189500;7.149000;7939;1912;ISOLA;0,4
44.289833;6.561667;7940;1900;La Foux d Allos;0,1
44.087000;6.941333;7941;1630;Valberg;0,3
44.215333;6.913500;7942;1910;Auron;0,1
42.978500;-0.748167;7943;1650;ARETTE LA-PIERRE-SAINT-MARTIN;0,5
44.870833;6.487167;7945;1270;PELVOUX ST ANTOINE;0,5
42.901500;-0.388167;7949;1860;Artouste;0,3
42.950000;-0.331667;7950;1600;Gourette;0,2
42.879667;-0.158167;7952;1920;CAUTERETS_LYS;0
42.881000;-0.063833;7953;1800;Luz Ardiden;0,2
42.828333;0.550000;7954;1107;St Paul d Oueil;0,5
